Company Name,Company Website
QUODEWORKS CONSULTING LLP,https://quodeworks.com
RATIOSPHERE TECHNOLOGIES PRIVATE LIMITED,www.ratiosphere.com
VWAVES TECHNOLOGIES PRIVATE LIMITED,https://visionwaves.com/
ShopIQ,https://shopiq.app/
EDUWITY SOLUTION PRIVATE LIMITED,eduwity.com
SAIS016 TECHNOLOGY SOLUTIONS PRIVATE LIMITED,https://www.datarenew.net/
BIG BEAR TECHNOLOGIES PRIVATE LIMITED,https://www.bigbeartech.in/
ARMPILOT TECHNOLOGIES PRIVATE LIMITED,https://armpilot.com/#/
PORTSTAY TECHNOLOGIES PRIVATE LIMITED,https://portstay.com
SURVHANA TECHNOLOGIES PRIVATE LIMITED,NA
SUTRAM SOLUTIONS PRIVATE LIMITED,https://sutramsolutions.com/
KAMENG TECHNOLOGIES PRIVATE LIMITED,www.leadstacts.com
ILOGICPLUS SOLUTIONS LLP,www.ilogicplus.com
XPECTRO SOLUTIONS (OPC) PRIVATE LIMITED,https://xpectro-solutions.com/
FEMLOGIC TECHNOLOGIES INDIA PRIVATE LIMITED,www.femlogic.in
LN INFOSPHERE TECHTRANSFORMERS PRIVATE LIMITED,https://complai.onrender.com
PROQX B2B PROCUREMENT PRIVATE LIMITED,https://www.proqx.com/
TRITIUM TECHNOLOGIES LLP,www.msgkart.com
PRAKIT GADGETS PRIVATE LIMITED,https://buyused.in/
MINDTROT TECHNOLOGIES PRIVATE LIMITED,www.mindtrot.com
CODEVANTAGE TECH PRIVATE LIMITED,https://disbug.io
Mintbits LLP,storetools.io
IGEO CONSULTANTS LLP,http://igeoconsultants.com/
ZWILLING LABS PRIVATE LIMITED,https://zwillinglabs.ai/
GEOMETRY SYSTEMS PRIVATE LIMITED,https://www.prism.net.in/
VERAHAAN HOSPITALITY TECH SOLUTIONS LLP,VERAHAAN HOSPITALITY TECH SOLUTIONS LLP
KARYAMSHA LABS PRIVATE LIMITED,https://karyah.app/
HOSIGENIE HOSPITALITY SERVICES PRIVATE LIMITED,www.mygenie.online
QUASITECH INNOVATIONS PRIVATE LIMITED,https://www.glyphhq.com
DATONIX SOFTWARE PRIVATE LIMITED,https://datonix.in/
YANTRA AI SOLUTIONS,https://www.yantraai.in/
INVINITY INDIA PRIVATE LIMITED,https://www.invinityindia.com/
SASTORM SOFTWARE INFOTECH PRIVATE LIMITED,https://sastormsoftware.com/
ELEVENTS METAESTATE PRIVATE LIMITED,ELEVENTS METAESTATE PRIVATE LIMITED
IOO LABS PRIVATE LIMITED,https://ioolabs.com/
PERKI SOLUTIONS PRIVATE LIMITED,https://viasuccess.io/
FORGE AI PRIVATE LIMITED,https://www.empirical.run
YJK TECHNOLOGIES PRIVATE LIMITED,https://www.yjktechnologies.com/
ARRESTO SOLUTIONS PRIVATE LIMITED,https://arresto.in
REVRR TECHNOLOGIES PRIVATE LIMITED,https://revrr.ai/
RADIANCE LABS,https://glamcam.ai/
CONNEXINK CLOUD LLP,https://connexink.com/
TEXARCH PRIVATE LIMITED,https://thefragment.app/
SQUAREBOTS IT PRIVATE LIMITED,https://squarebotsit.in/
GOYANI TECHNOLOGIES PRIVATE LIMITED,https://www.thecompanycheck.com/company/goyani-technologies-private-limited/U62090GJ2024PTC150188
ENNIOX TECHNOLOGIES PRIVATE LIMITED,www.enniox.com
STAMPJAM TECHNOLOGIES LLP,www.stampjam.com
REVEZA TECHNOLOGIES PRIVATE LIMITED,https://reveza.com/
SHARP MINDS CLOUD TECH PRIVATE LIMITED,www.sharpmindscloudtech.com
CSTACK TECHNOLOGIES PRIVATE LIMITED,trypeach.io
SENYA SOLUTIONS PRIVATE LIMITED,https://www.franchisee.ai/
KODEWIN SOLUTIONS PRIVATE LIMITED,www.Kodewin.com
LABELBLIND SOLUTIONS PRIVATE LIMITED,https://foodlabelsolutions.com
VISTRIVE TECHNOLOGIES PRIVATE LIMITED,https://www.vistrivetech.com
ONEJAM CLOUDTECH PRIVATE LIMITED,https://onejam.io/
REINTELL SOFTTECH PRIVATE LIMITED,https://www.supereps.ai/
FXMEDIALAB,http://www.fxmedialab.com
REMEDIUS SOFTWORKS PRIVATE LIMITED,https://ficura.in/
VIRRAN TECH SOLUTIONS PRIVATE LIMITED,https://www.virrantech.com/
ASTRAOPS PRIVATE LIMITED,http://www.astraops.com/
SWIPPY TECH LLP,www.swippy.in
PLAYSUPER SOFTWARE SOLUTIONS PRIVATE LIMITED,https://playsuper.club/
NEURALSOFT PRIVATE LIMITED,nspltech.com
INTIANT TECH PRIVATE LIMITED,https://www.intiant.com/
CLOUDFEN SOFTWARE SOLUTIONS PRIVATE LIMITED,https://cloudfen.com/index.html
CAROL SOLUTIONS,www.carolsolutions.com
CODE 9 SOFTWARE TECHNOLOGIES & CONSULTANCY PRIVATE LIMITED,https://code9.cloud/
OTFCODER PRIVATE LIMITED,https://www.otfcoder.com
BOOKSPOT TECHNOLOGIES PRIVATE LIMITED,bookspot.app
IOWARE DIGITAL SOLUTIONS LLP,https://ioxpert.com/
Macha Community,www.macha.ai
MILLENIA LABS PRIVATE LIMITED,https://www.millenia-labs.com/index.html
ARUGIL TECH SOLUTIONS PRIVATE LIMITED,https://www.arugiltech.com/
PARKESE LABS LLP,https://parkese.com/
Advaya Platform Pvt Ltd,www.advayaplatform.com
TAILWINDS CLOUD SERVICES PRIVATE LIMITED,www.tailwinds.ai
SECONE SOFTWARE PRIVATE LIMITED,https://sec1.io/
RISKBIRBAL MANAGEMENT SERVICES PRIVATE LIMITED,https://www.falconebiz.com/company/RISKBIRBAL-MANAGEMENT-SERVICES-PRIVATE-LIMITED-U70200DL2023PTC416229
SOFTHEALER TECHNOLOGIES PRIVATE LIMITED,https://www.softhealer.com/
SERENSYNTH LABS PRIVATE LIMITED,https://www.goldlabsexpress.co.in/
HYPERTEST INDIA PRIVATE LIMITED,https://www.hypertest.co/
Noblegiving Private Limited,https://www.noblegiving.in/
SALEAZY TECHNOLOGIES PRIVATE LIMITED,www.affluense.in
Sovrin,https://sovrin.one
HEXAGREEN CONSULTANCY PRIVATE LIMITED,https://www.pmpeople.ai/
SPAREROWS TECHNOLOGY PRIVATE LIMITED,https://sparerows.com/
CONTRACTOR PLUS LLP,https://contractorplus.app/
MARKETRICS TECHNOLOGIES PRIVATE LIMITED,https://easyreplenish.com/
Telosa Services Pvt Ltd,www.telosa.review
Gway Tech Solutions Private Limited,https://gwayerp.com/
TRADEREBOOT TECH PRIVATE LIMITED,https://tradetech.tradereboot.com/home
GOLDENPEGASUS IT CONSULTING AND SERVICES PRIVATE LIMITED,https://www.thecompanycheck.com/people/goldenpegasus-it-consulting-and-services/U72900PN2023PTC217495
GLISTENINFO TECH INDIA LLP,https://glisteninfotech.com/
T3WORKFORCE PRIVATE LIMITED,www.t3workforce.com
KITESUITE SOFTECH PRIVATE LIMITED,https://kitesuite.com
